Id,Name,Author
"NV 001",നെല്ല്,വത്സല
"NV 002","അതേ കടൽ","ആമോസ് ഓസ്"
"NV 003",അഭയാർത്ഥികൾ,ആനന്ത്‌
"NV 004","ഇന്ത്യയുടെ ഭൂപടം","K.R സുരേന്ദ്രൻ"
"NV 005",കുഞാലി,"അഷ്‌റഫ്‌ കാവിൽ"
"NV 006","എ മൈനസ് ബി",കോവിലൻ
"NV 007","ദൈവത്തിന്റെ പുസ്തകം","കെ പി രാമനുണ്ണി"
"NV 008",യന്ത്രം,മലയാറ്റൂർ
"NV 009","മധ്യ ശിലാ",ലതമുടപുരം
"NV 010","ആനവാരിയും പൊൻകുരിശും","വൈക്കം മുഹമ്മദ് ബഷീർ"
"NV 011","ജീവിച്ചിരിക്കുന്നവരുടെ മനസ്സിൽ","സെബാസ്റ്റ്യൻ പള്ളിത്തോട്"
"NV 012","യാന പാത്രം","കെ യു ഇഖ്ബാൽ"
"NV 013","സോറി ഇബിലീസ് ബിസിയാണ്","ഈസാ മതിലകം"
"NV 014",വന്ദേമാതരം,"ഇ വാസു"
"NV 015",ഗുരുസാഗരം,"ഒ വി വിജയൻ"
"NV 016","തെണ്ടി വർഗ്ഗം",തകഴി
"NV 017",വാരിക്കുഴി,"എം ടി"
"NV 018","ത്രിക്കൊട്ടുർ പെരുമ","യു എ ഖാദർ"
"NV 019",നൃത്തം,"എം മുകുന്ദൻ"
"NV 020",തെമ്മാടിക്കവല,"ടി പി വേണുഗോപാൽ"
"NV 021",സിൻഡിക്കേറ്റ്,"വി കെ എൻ"
"NV 022","ജന്മാന്തര വാഗ്ദാനങ്ങൾ","ജയശ്രീ മിശ്ര"
"NV 023",തിരിച്ചുവരവ്,"ടി എൻ പുരം"
"NV 024",ആൾക്കൂട്ടം,ആനന്ദ്
"NV 025","ലൂസിഫറിന്റെ ആത്മകഥ","കെ പി ജെയിംസ്"
"NV 026","കേശവന്റെ  വിലാപങ്ങൾ","എം മുകുന്ദൻ"
"NV 027","നടവഴിയിലെ നേരുകൾ",ഷെമി
"NV 028","ഉമ്രഓ ജാൻ ആദാ","മിർസാ മുഹമ്മദ് ഹാദി"
"NV 029",പതനം,"എം ടി"
"NV 030","വെതർ റിങ് ഹൈറ്റ്","എമിലി ബ്രോണ്ടി"
"NV 031",ബ്ലേഡ്കാർക്കെതിരെ,"കൊട്ടാരം ജോർജ്ജ്"
"NV 033",ഇസബെല്ല,"മുഹമ്മദ് സഈദ്"
"NV 034",എൻമകജെ,"അംബികാസുതൻ മാങ്ങാട്"
"NV 035",ആത്മഹത്യ,"ഷാനവാസ് എം എ"
"NV 036","നേർ വഴിയുടെ സംഗീതം","ഡോക്ടർ നജീബ് കൈലാനി"
"NV 037","കാണുന്നതല്ല കാഴ്ചകൾ","യു കെ കുമാരൻ"
"NV 038","മയ്യഴി പുഴയുടെ തീരങ്ങളിൽ","എം മുകുന്ദൻ"
"NV 039","നോത്രദാമിലെ കൂനൻ","വിക്ടർ ഹ്യൂഗോ"
"NV 040",നാലുകെട്ട്,"എം ടി"
"NV 041","പടിപ്പുരയും കടന്ന്","ടി എൻ പുരം"
"NV 042","പറയിപെറ്റ പന്തിരുകുലം",നരേന്ദ്രനാഥ്
"NV 043","സുന്ദരികളും സുന്ദരന്മാരും",ഉറൂബ്
"NV 044","ലന്തൻബത്തേരിയിലെ ലുത്തിനിയകൾ","എൻ എസ് മാധവൻ"
"NV 045","ക്ലിങ്സറുടെ  അവസാന വേനൽ","ഹെർമൻ ഹെസ്സ"
"NV 046",ഹാംലെറ്റ്,"വില്യം ഷേക്സ്പിയർ"
"NV 047",പരിഭവങ്ങളില്ലാതെ,"ഹംസ ആലുങ്ങൽ"
"NV 048",വെള്ളിവെളിച്ചം,"റഷീദ് മോങ്ങം"
"NV 049","പ്ലൂട്ടോ പ്രിയപ്പെട്ട പ്ലൂട്ടോ","വി കെ ബാലകൃഷ്ണൻ"
"NV 050",കൽപ്പാന്തം,ഡാവിഞ്ചി
"NV 051",ഗുലിസ്ഥാൻ,"സഅദി ശീറാസി"
"NV 052","സംഗീതത്തിൽ നിന്ന് ഇസ്ലാമിലേക്ക്","നജീബ് കൈലാനി"
"NV 053","ന്റുപ്പൂപ്പാക്കൊരു ആനണ്ടേർന്ന്",ബശീർ
"NV 054",ദേവദാസ്,"ശരത് ചന്ദ്ര ചന്ദ്രപാതായ"
